hits,quarter,term,year
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1962
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1962
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1962
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1962
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1963
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1963
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1963
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1963
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1964
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1964
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1964
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,1964
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1965
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1965
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1965
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1965
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1966
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1966
2,3,(veteran or soldier or military or armedforces) AND battle fatigue,1966
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1966
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1967
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1967
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1967
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1967
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1968
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1968
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1968
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1968
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1969
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1969
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1969
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1969
2,1,(veteran or soldier or military or armedforces) AND battle fatigue,1970
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1970
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1970
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,1970
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1971
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1971
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1971
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1971
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1972
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1972
2,3,(veteran or soldier or military or armedforces) AND battle fatigue,1972
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1972
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1973
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1973
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1973
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1973
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1974
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1974
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1974
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1974
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1975
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1975
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1975
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1975
2,1,(veteran or soldier or military or armedforces) AND battle fatigue,1976
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1976
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1976
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1976
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1977
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1977
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1977
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1977
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1978
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1978
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1978
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1978
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1979
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1979
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1979
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1979
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1980
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1980
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1980
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1980
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1981
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1981
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1981
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,1981
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1982
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1982
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1982
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1982
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1983
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1983
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1983
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1983
2,1,(veteran or soldier or military or armedforces) AND battle fatigue,1984
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1984
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1984
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,1984
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1985
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1985
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1985
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1985
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1986
2,2,(veteran or soldier or military or armedforces) AND battle fatigue,1986
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1986
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1986
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1987
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1987
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1987
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1987
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1988
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1988
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1988
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1988
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1989
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1989
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1989
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1989
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,1990
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1990
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1990
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1990
2,1,(veteran or soldier or military or armedforces) AND battle fatigue,1991
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1991
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1991
2,4,(veteran or soldier or military or armedforces) AND battle fatigue,1991
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1992
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1992
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1992
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,1992
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1993
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,1993
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1993
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1993
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1994
2,2,(veteran or soldier or military or armedforces) AND battle fatigue,1994
2,3,(veteran or soldier or military or armedforces) AND battle fatigue,1994
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1994
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1995
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1995
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1995
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,1995
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1996
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1996
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1996
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1996
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1997
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1997
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1997
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1997
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1998
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1998
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,1998
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,1998
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,1999
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,1999
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,1999
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,1999
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,2000
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,2000
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,2000
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,2000
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,2001
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,2001
1,3,(veteran or soldier or military or armedforces) AND battle fatigue,2001
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,2001
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,2002
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,2002
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,2002
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,2002
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,2003
1,2,(veteran or soldier or military or armedforces) AND battle fatigue,2003
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,2003
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,2003
2,1,(veteran or soldier or military or armedforces) AND battle fatigue,2004
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,2004
2,3,(veteran or soldier or military or armedforces) AND battle fatigue,2004
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,2004
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,2005
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,2005
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,2005
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,2005
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,2006
2,2,(veteran or soldier or military or armedforces) AND battle fatigue,2006
2,3,(veteran or soldier or military or armedforces) AND battle fatigue,2006
1,4,(veteran or soldier or military or armedforces) AND battle fatigue,2006
1,1,(veteran or soldier or military or armedforces) AND battle fatigue,2007
0,2,(veteran or soldier or military or armedforces) AND battle fatigue,2007
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,2007
2,4,(veteran or soldier or military or armedforces) AND battle fatigue,2007
0,1,(veteran or soldier or military or armedforces) AND battle fatigue,2008
3,2,(veteran or soldier or military or armedforces) AND battle fatigue,2008
0,3,(veteran or soldier or military or armedforces) AND battle fatigue,2008
0,4,(veteran or soldier or military or armedforces) AND battle fatigue,2008
