hits,quarter,term,year
0,2,veteran.soldier.military.armedforces AND soldier's heart,1953
0,3,veteran.soldier.military.armedforces AND soldier's heart,1953
0,4,veteran.soldier.military.armedforces AND soldier's heart,1953
0,1,veteran.soldier.military.armedforces AND soldier's heart,1954
0,2,veteran.soldier.military.armedforces AND soldier's heart,1954
0,3,veteran.soldier.military.armedforces AND soldier's heart,1954
0,4,veteran.soldier.military.armedforces AND soldier's heart,1954
0,1,veteran.soldier.military.armedforces AND soldier's heart,1955
0,2,veteran.soldier.military.armedforces AND soldier's heart,1955
0,3,veteran.soldier.military.armedforces AND soldier's heart,1955
0,4,veteran.soldier.military.armedforces AND soldier's heart,1955
0,1,veteran.soldier.military.armedforces AND soldier's heart,1956
0,2,veteran.soldier.military.armedforces AND soldier's heart,1956
0,3,veteran.soldier.military.armedforces AND soldier's heart,1956
0,4,veteran.soldier.military.armedforces AND soldier's heart,1956
0,1,veteran.soldier.military.armedforces AND soldier's heart,1957
0,2,veteran.soldier.military.armedforces AND soldier's heart,1957
0,3,veteran.soldier.military.armedforces AND soldier's heart,1957
0,4,veteran.soldier.military.armedforces AND soldier's heart,1957
0,1,veteran.soldier.military.armedforces AND soldier's heart,1958
1,2,veteran.soldier.military.armedforces AND soldier's heart,1958
0,3,veteran.soldier.military.armedforces AND soldier's heart,1958
0,4,veteran.soldier.military.armedforces AND soldier's heart,1958
0,1,veteran.soldier.military.armedforces AND soldier's heart,1959
0,2,veteran.soldier.military.armedforces AND soldier's heart,1959
1,3,veteran.soldier.military.armedforces AND soldier's heart,1959
0,4,veteran.soldier.military.armedforces AND soldier's heart,1959
0,1,veteran.soldier.military.armedforces AND soldier's heart,1960
0,2,veteran.soldier.military.armedforces AND soldier's heart,1960
0,3,veteran.soldier.military.armedforces AND soldier's heart,1960
0,4,veteran.soldier.military.armedforces AND soldier's heart,1960
0,1,veteran.soldier.military.armedforces AND soldier's heart,1961
0,2,veteran.soldier.military.armedforces AND soldier's heart,1961
0,3,veteran.soldier.military.armedforces AND soldier's heart,1961
0,4,veteran.soldier.military.armedforces AND soldier's heart,1961
0,1,veteran.soldier.military.armedforces AND soldier's heart,1962
0,2,veteran.soldier.military.armedforces AND soldier's heart,1962
0,3,veteran.soldier.military.armedforces AND soldier's heart,1962
0,4,veteran.soldier.military.armedforces AND soldier's heart,1962
0,1,veteran.soldier.military.armedforces AND soldier's heart,1963
0,2,veteran.soldier.military.armedforces AND soldier's heart,1963
0,3,veteran.soldier.military.armedforces AND soldier's heart,1963
0,4,veteran.soldier.military.armedforces AND soldier's heart,1963
0,1,veteran.soldier.military.armedforces AND soldier's heart,1964
0,2,veteran.soldier.military.armedforces AND soldier's heart,1964
0,3,veteran.soldier.military.armedforces AND soldier's heart,1964
0,4,veteran.soldier.military.armedforces AND soldier's heart,1964
0,1,veteran.soldier.military.armedforces AND soldier's heart,1965
0,2,veteran.soldier.military.armedforces AND soldier's heart,1965
0,3,veteran.soldier.military.armedforces AND soldier's heart,1965
0,4,veteran.soldier.military.armedforces AND soldier's heart,1965
0,1,veteran.soldier.military.armedforces AND soldier's heart,1966
0,2,veteran.soldier.military.armedforces AND soldier's heart,1966
0,3,veteran.soldier.military.armedforces AND soldier's heart,1966
0,4,veteran.soldier.military.armedforces AND soldier's heart,1966
0,1,veteran.soldier.military.armedforces AND soldier's heart,1967
0,2,veteran.soldier.military.armedforces AND soldier's heart,1967
0,3,veteran.soldier.military.armedforces AND soldier's heart,1967
0,4,veteran.soldier.military.armedforces AND soldier's heart,1967
0,1,veteran.soldier.military.armedforces AND soldier's heart,1968
0,2,veteran.soldier.military.armedforces AND soldier's heart,1968
0,3,veteran.soldier.military.armedforces AND soldier's heart,1968
0,4,veteran.soldier.military.armedforces AND soldier's heart,1968
0,1,veteran.soldier.military.armedforces AND soldier's heart,1969
0,2,veteran.soldier.military.armedforces AND soldier's heart,1969
0,3,veteran.soldier.military.armedforces AND soldier's heart,1969
0,4,veteran.soldier.military.armedforces AND soldier's heart,1969
0,1,veteran.soldier.military.armedforces AND soldier's heart,1970
0,2,veteran.soldier.military.armedforces AND soldier's heart,1970
0,3,veteran.soldier.military.armedforces AND soldier's heart,1970
0,4,veteran.soldier.military.armedforces AND soldier's heart,1970
0,1,veteran.soldier.military.armedforces AND soldier's heart,1971
0,2,veteran.soldier.military.armedforces AND soldier's heart,1971
0,3,veteran.soldier.military.armedforces AND soldier's heart,1971
0,4,veteran.soldier.military.armedforces AND soldier's heart,1971
0,1,veteran.soldier.military.armedforces AND soldier's heart,1972
0,2,veteran.soldier.military.armedforces AND soldier's heart,1972
0,3,veteran.soldier.military.armedforces AND soldier's heart,1972
0,4,veteran.soldier.military.armedforces AND soldier's heart,1972
0,1,veteran.soldier.military.armedforces AND soldier's heart,1973
0,2,veteran.soldier.military.armedforces AND soldier's heart,1973
0,3,veteran.soldier.military.armedforces AND soldier's heart,1973
0,4,veteran.soldier.military.armedforces AND soldier's heart,1973
0,1,veteran.soldier.military.armedforces AND soldier's heart,1974
0,2,veteran.soldier.military.armedforces AND soldier's heart,1974
0,3,veteran.soldier.military.armedforces AND soldier's heart,1974
0,4,veteran.soldier.military.armedforces AND soldier's heart,1974
0,1,veteran.soldier.military.armedforces AND soldier's heart,1975
0,2,veteran.soldier.military.armedforces AND soldier's heart,1975
0,3,veteran.soldier.military.armedforces AND soldier's heart,1975
0,4,veteran.soldier.military.armedforces AND soldier's heart,1975
0,1,veteran.soldier.military.armedforces AND soldier's heart,1976
0,2,veteran.soldier.military.armedforces AND soldier's heart,1976
0,3,veteran.soldier.military.armedforces AND soldier's heart,1976
0,4,veteran.soldier.military.armedforces AND soldier's heart,1976
0,1,veteran.soldier.military.armedforces AND soldier's heart,1977
0,2,veteran.soldier.military.armedforces AND soldier's heart,1977
0,3,veteran.soldier.military.armedforces AND soldier's heart,1977
0,4,veteran.soldier.military.armedforces AND soldier's heart,1977
0,1,veteran.soldier.military.armedforces AND soldier's heart,1978
0,2,veteran.soldier.military.armedforces AND soldier's heart,1978
0,3,veteran.soldier.military.armedforces AND soldier's heart,1978
0,4,veteran.soldier.military.armedforces AND soldier's heart,1978
0,1,veteran.soldier.military.armedforces AND soldier's heart,1979
0,2,veteran.soldier.military.armedforces AND soldier's heart,1979
0,3,veteran.soldier.military.armedforces AND soldier's heart,1979
0,4,veteran.soldier.military.armedforces AND soldier's heart,1979
0,1,veteran.soldier.military.armedforces AND soldier's heart,1980
0,2,veteran.soldier.military.armedforces AND soldier's heart,1980
0,3,veteran.soldier.military.armedforces AND soldier's heart,1980
0,4,veteran.soldier.military.armedforces AND soldier's heart,1980
0,1,veteran.soldier.military.armedforces AND soldier's heart,1981
0,2,veteran.soldier.military.armedforces AND soldier's heart,1981
0,3,veteran.soldier.military.armedforces AND soldier's heart,1981
0,4,veteran.soldier.military.armedforces AND soldier's heart,1981
0,1,veteran.soldier.military.armedforces AND soldier's heart,1982
0,2,veteran.soldier.military.armedforces AND soldier's heart,1982
0,3,veteran.soldier.military.armedforces AND soldier's heart,1982
0,4,veteran.soldier.military.armedforces AND soldier's heart,1982
0,1,veteran.soldier.military.armedforces AND soldier's heart,1983
0,2,veteran.soldier.military.armedforces AND soldier's heart,1983
0,3,veteran.soldier.military.armedforces AND soldier's heart,1983
0,4,veteran.soldier.military.armedforces AND soldier's heart,1983
0,1,veteran.soldier.military.armedforces AND soldier's heart,1984
0,2,veteran.soldier.military.armedforces AND soldier's heart,1984
0,3,veteran.soldier.military.armedforces AND soldier's heart,1984
0,4,veteran.soldier.military.armedforces AND soldier's heart,1984
0,1,veteran.soldier.military.armedforces AND soldier's heart,1985
0,2,veteran.soldier.military.armedforces AND soldier's heart,1985
0,3,veteran.soldier.military.armedforces AND soldier's heart,1985
0,4,veteran.soldier.military.armedforces AND soldier's heart,1985
0,1,veteran.soldier.military.armedforces AND soldier's heart,1986
0,2,veteran.soldier.military.armedforces AND soldier's heart,1986
0,3,veteran.soldier.military.armedforces AND soldier's heart,1986
0,4,veteran.soldier.military.armedforces AND soldier's heart,1986
0,1,veteran.soldier.military.armedforces AND soldier's heart,1987
0,2,veteran.soldier.military.armedforces AND soldier's heart,1987
0,3,veteran.soldier.military.armedforces AND soldier's heart,1987
1,4,veteran.soldier.military.armedforces AND soldier's heart,1987
0,1,veteran.soldier.military.armedforces AND soldier's heart,1988
0,2,veteran.soldier.military.armedforces AND soldier's heart,1988
0,3,veteran.soldier.military.armedforces AND soldier's heart,1988
0,4,veteran.soldier.military.armedforces AND soldier's heart,1988
0,1,veteran.soldier.military.armedforces AND soldier's heart,1989
0,2,veteran.soldier.military.armedforces AND soldier's heart,1989
0,3,veteran.soldier.military.armedforces AND soldier's heart,1989
1,4,veteran.soldier.military.armedforces AND soldier's heart,1989
0,1,veteran.soldier.military.armedforces AND soldier's heart,1990
0,2,veteran.soldier.military.armedforces AND soldier's heart,1990
0,3,veteran.soldier.military.armedforces AND soldier's heart,1990
0,4,veteran.soldier.military.armedforces AND soldier's heart,1990
0,1,veteran.soldier.military.armedforces AND soldier's heart,1991
0,2,veteran.soldier.military.armedforces AND soldier's heart,1991
0,3,veteran.soldier.military.armedforces AND soldier's heart,1991
0,4,veteran.soldier.military.armedforces AND soldier's heart,1991
0,1,veteran.soldier.military.armedforces AND soldier's heart,1992
0,2,veteran.soldier.military.armedforces AND soldier's heart,1992
0,3,veteran.soldier.military.armedforces AND soldier's heart,1992
0,4,veteran.soldier.military.armedforces AND soldier's heart,1992
