hits,quarter,term,year
0,1,(vets*) AND railway spine,1940
0,2,(vets*) AND railway spine,1940
0,3,(vets*) AND railway spine,1940
0,4,(vets*) AND railway spine,1940
0,1,(vets*) AND railway spine,1941
0,2,(vets*) AND railway spine,1941
0,3,(vets*) AND railway spine,1941
0,4,(vets*) AND railway spine,1941
0,1,(vets*) AND railway spine,1942
0,2,(vets*) AND railway spine,1942
0,3,(vets*) AND railway spine,1942
0,4,(vets*) AND railway spine,1942
0,1,(vets*) AND railway spine,1943
0,2,(vets*) AND railway spine,1943
0,3,(vets*) AND railway spine,1943
0,4,(vets*) AND railway spine,1943
0,1,(vets*) AND railway spine,1944
0,2,(vets*) AND railway spine,1944
0,3,(vets*) AND railway spine,1944
0,4,(vets*) AND railway spine,1944
0,1,(vets*) AND railway spine,1945
0,2,(vets*) AND railway spine,1945
0,3,(vets*) AND railway spine,1945
0,4,(vets*) AND railway spine,1945
0,1,(vets*) AND railway spine,1946
0,2,(vets*) AND railway spine,1946
0,3,(vets*) AND railway spine,1946
0,4,(vets*) AND railway spine,1946
0,1,(vets*) AND railway spine,1947
0,2,(vets*) AND railway spine,1947
0,3,(vets*) AND railway spine,1947
0,4,(vets*) AND railway spine,1947
0,1,(vets*) AND railway spine,1948
0,2,(vets*) AND railway spine,1948
0,3,(vets*) AND railway spine,1948
0,4,(vets*) AND railway spine,1948
0,1,(vets*) AND railway spine,1949
0,2,(vets*) AND railway spine,1949
0,3,(vets*) AND railway spine,1949
0,4,(vets*) AND railway spine,1949
0,1,(vets*) AND railway spine,1950
0,2,(vets*) AND railway spine,1950
0,3,(vets*) AND railway spine,1950
0,4,(vets*) AND railway spine,1950
0,1,(vets*) AND railway spine,1951
0,2,(vets*) AND railway spine,1951
0,3,(vets*) AND railway spine,1951
0,4,(vets*) AND railway spine,1951
0,1,(vets*) AND railway spine,1952
0,2,(vets*) AND railway spine,1952
0,3,(vets*) AND railway spine,1952
0,4,(vets*) AND railway spine,1952
0,1,(vets*) AND railway spine,1953
0,2,(vets*) AND railway spine,1953
0,3,(vets*) AND railway spine,1953
0,4,(vets*) AND railway spine,1953
0,1,(vets*) AND railway spine,1954
0,2,(vets*) AND railway spine,1954
0,3,(vets*) AND railway spine,1954
0,4,(vets*) AND railway spine,1954
0,1,(vets*) AND railway spine,1955
0,2,(vets*) AND railway spine,1955
0,3,(vets*) AND railway spine,1955
0,4,(vets*) AND railway spine,1955
0,1,(vets*) AND railway spine,1956
