hits,quarter,term,year
0,3,(vets*) AND perpetual bogey,1926
0,4,(vets*) AND perpetual bogey,1926
0,1,(vets*) AND perpetual bogey,1927
0,2,(vets*) AND perpetual bogey,1927
0,3,(vets*) AND perpetual bogey,1927
0,4,(vets*) AND perpetual bogey,1927
0,1,(vets*) AND perpetual bogey,1928
0,2,(vets*) AND perpetual bogey,1928
0,3,(vets*) AND perpetual bogey,1928
0,4,(vets*) AND perpetual bogey,1928
0,1,(vets*) AND perpetual bogey,1929
0,2,(vets*) AND perpetual bogey,1929
0,3,(vets*) AND perpetual bogey,1929
0,4,(vets*) AND perpetual bogey,1929
0,1,(vets*) AND perpetual bogey,1930
0,2,(vets*) AND perpetual bogey,1930
0,3,(vets*) AND perpetual bogey,1930
0,4,(vets*) AND perpetual bogey,1930
0,1,(vets*) AND perpetual bogey,1931
0,2,(vets*) AND perpetual bogey,1931
0,3,(vets*) AND perpetual bogey,1931
0,4,(vets*) AND perpetual bogey,1931
0,1,(vets*) AND perpetual bogey,1932
0,2,(vets*) AND perpetual bogey,1932
0,3,(vets*) AND perpetual bogey,1932
0,4,(vets*) AND perpetual bogey,1932
0,1,(vets*) AND perpetual bogey,1933
0,2,(vets*) AND perpetual bogey,1933
0,3,(vets*) AND perpetual bogey,1933
0,4,(vets*) AND perpetual bogey,1933
0,1,(vets*) AND perpetual bogey,1934
0,2,(vets*) AND perpetual bogey,1934
0,3,(vets*) AND perpetual bogey,1934
0,4,(vets*) AND perpetual bogey,1934
0,1,(vets*) AND perpetual bogey,1935
0,2,(vets*) AND perpetual bogey,1935
0,3,(vets*) AND perpetual bogey,1935
0,4,(vets*) AND perpetual bogey,1935
0,1,(vets*) AND perpetual bogey,1936
0,2,(vets*) AND perpetual bogey,1936
0,3,(vets*) AND perpetual bogey,1936
0,4,(vets*) AND perpetual bogey,1936
0,1,(vets*) AND perpetual bogey,1937
0,2,(vets*) AND perpetual bogey,1937
0,3,(vets*) AND perpetual bogey,1937
0,4,(vets*) AND perpetual bogey,1937
0,1,(vets*) AND perpetual bogey,1938
0,2,(vets*) AND perpetual bogey,1938
0,3,(vets*) AND perpetual bogey,1938
0,4,(vets*) AND perpetual bogey,1938
0,1,(vets*) AND perpetual bogey,1939
0,2,(vets*) AND perpetual bogey,1939
0,3,(vets*) AND perpetual bogey,1939
0,4,(vets*) AND perpetual bogey,1939
0,1,(vets*) AND perpetual bogey,1940
0,2,(vets*) AND perpetual bogey,1940
0,3,(vets*) AND perpetual bogey,1940
0,4,(vets*) AND perpetual bogey,1940
0,1,(vets*) AND perpetual bogey,1941
0,2,(vets*) AND perpetual bogey,1941
0,3,(vets*) AND perpetual bogey,1941
0,4,(vets*) AND perpetual bogey,1941
0,1,(vets*) AND perpetual bogey,1942
0,2,(vets*) AND perpetual bogey,1942
0,3,(vets*) AND perpetual bogey,1942
0,4,(vets*) AND perpetual bogey,1942
